conference,division,name,shortName,mascot,stadiumId,code
MWC,Mountain,University of Wyoming,Wyoming,Cowboys,WAR-MEM,WYO
MWC,Mountain,Colorado State University,Colorado State,Rams,CANVAS,CSU
MWC,Mountain,United States Air Force Academy,Air Force,Falcons,FALCON,AF
MWC,West,University of Hawaii at Manoa,Hawaii,Rainbow Warriors,ALOHA,HAWAII
MWC,West,"University of Nevada, Reno",Nevada,Wolf Pack,MACKAY,NV
MWC,West,San Diego State University,San Diego State,Aztecs,SDCCU,SDSU
MWC,West,"California State University, Fresno",Fresno State,Bulldogs,FRES-BLDG,FRESNO
MWC,West,University of Nevada - Las Vegas,UNLV,Rebels,SAM-BOYD,UNLV
MWC,West,San Jose State University,San Jose State,Spartans,CEFCU,SJSU
PAC12,North,Stanford University,Stanford,Cadinal,STAN,STAN
PAC12,North,University of Washington,Washington,Huskies,HUSKY-WA,WASH
PAC12,North,University of Oregon,Oregon,Ducks,AUTZEN,ORE
PAC12,North,Washington State University,Washington State,Cougars,MARTIN-WA,WASH-ST
PAC12,North,"University of California, Berkeley",Cal,Golden Bears,CAL-MEM,CAL
PAC12,North,Oregon State University,Oregon State,Beavers,RESER,OR-ST
PAC12,South,University of Colorado - Boulder,Colorado,Buffaloes,FOLSOM,COLO
PAC12,South,University of Southern California,USC,Trojans,COLISEUM,USC
PAC12,South,Arizona State University,Arizona State,Sun Devils,SUN-DEV,ASU
PAC12,South,University of Arizona,Arizona,Wildcats,AZ-STAD,AZ
PAC12,South,University of California - Los Angeles,UCLA,Bruins,ROSE-BOWL,UCLA
PAC12,South,University of Utah,Utah,Utes,RICE-ECCLES,UTAH
SEC,East,University of Georgia,Georgia,Bulldogs,SANFORD,UGA
SEC,East,University of Kentucky,Kentucky,Wildcats,KROGER,KENTUCKY
SEC,East,University of Florida,Florida,Gators,SWAMP,UF
SEC,East,University of Missouri,Mizzou,Tigers,FAUROT,MIZZOU
SEC,East,Vanderbilt University,Vanderbilt,Commodores,DUDLEY,VANDY
SEC,East,University of South Carolina,South Carolina,Gamecocks,WILLY,SCAR
SEC,East,University of Tennessee,Tennessee,Volunteers,NEYLAND,TENN
SEC,West,Auburn University,Auburn,Tigers,JH,AUB
SEC,West,University of Alabama,Alabama,Crimson Tide,BRY-DEN,BAMA
SEC,West,Louisiana State University,LSU,Tigers,LSU-TIG,LSU
SEC,West,Texas A&M University,Texas A&M,Aggies,KYLE,TAMU
SEC,West,Mississippi State University,Mississippi State,Bulldogs,DAV-WADE,MS-ST
