team,date,network,rating,viewers
CLEM,12/1/18,ABC,2.5,4.236
WASH,11/30/18,FOX,2.6,4.059
UCF,12/1/18,ABC,2.1,3.321
BOISE,12/1/18,ESPN,0.6,1.036
APP-ST,12/1/18,ESPN,0.6,0.898
NIU,11/30/18,ESPN2,0.38,0.587
MICH,11/24/18,FOX,7.5,13.2
AUB,11/24/18,CBS,5.1,9.132
ND,11/24/18,ABC,4.4,7.736
OKLA,11/23/18,ESPN,3,5.63
WASH,11/23/18,FOX,2.3,4.082
NEB,11/23/18,FOX,2.1,3.664
UVA,11/23/18,ABC,,3.553
CLEM,11/24/18,ESPN,1.8,3.261
RUT,11/24/18,FOX,1.8,3.038
FSU,11/24/18,ABC,1.5,2.38
PSU,11/24/18,ABC,1.3,2.176
ARK,11/23/18,CBS,,1.919
UCF,11/23/18,ESPN,,1.741
TCU,11/24/18,FOX,1,1.615
TEX,11/23/18,FS1,,1.185
MISS,11/22/18,ESPN,0.57,1.108
BOISE,11/24/18,ESPN,0.65,1.078
MINN,11/24/18,ESPN2,0.65,1.031
ORE,11/23/18,FS1,,0.945
PITT,11/24/18,ESPN,0.5,0.919
LOU,11/24/18,ESPN2,0.45,0.844
IAST,11/24/18,FS1,0.49,0.821
ASU,11/24/18,FS1,0.41,0.798
SYR,11/24/18,ESPN,0.46,0.765
BYU,11/24/18,FS1,0.32,0.626
PUR,11/24/18,ESPN2,0.25,0.368
TXTEC,11/24/18,FS1,0.21,0.333
UMD,11/17/18,ABC,3.5,5.588
WVU,11/17/18,ABC,2.4,3.9
CINCI,11/17/18,ABC,1.9,3.098
SYR,11/17/18,NBC,1.8,2.873
OKLA,11/17/18,FOX,1.8,2.762
NEB,11/17/18,FOX,1.6,2.515
CLEM,11/17/18,ESPN,1.4,2.452
MICH,11/17/18,FS1,1.4,2.273
TENN,11/17/18,CBS,1.3,2.025
USC,11/17/18,FOX,1.3,1.983
AZ,11/17/18,ESPN,1,1.568
AUB,11/17/18,ESPN,0.7,1.036
MIA,11/17/18,ESPN,0.47,0.733
UAB,11/17/18,ESPN2,0.42,0.722
FSU,11/17/18,ESPN2,0.44,0.716
SMU,11/16/18,ESPN2,0.37,0.623
LSU,11/17/18,ESPNU,,0.445
OHIO,11/14/18,ESPN2,,0.406
TCU,11/17/18,FS1,0.23,0.405
UH,11/15/18,ESPN,,0.378
BALL,11/13/18,ESPN2,,0.356
BYU,11/17/18,ESPN2,,0.295
UF,11/17/18,ESPNU,,0.282
YALE,11/17/18,ESPN2,,0.272
BAMA,11/10/18,CBS,3.3,5.419
OHST,11/10/18,FOX,3.3,5.191
AUB,11/10/18,ESPN,2.2,3.987
OKLA,11/10/18,ABC,2.4,3.917
CLEM,11/10/18,ABC,2.4,3.885
FSU,11/10/18,NBC,1.9,3.173
TEX,11/10/18,FOX,1.6,2.679
IOWA,11/10/18,FOX,1.6,2.636
PSU,11/10/18,ABC,1.5,2.27
TAMU,11/10/18,CBS,1.4,2.138
UF,11/10/18,ESPN,1.3,2.068
USC,11/10/18,ESPN,1,1.587
COLO,11/10/18,ESPN,0.8,1.299
LOU,11/9/18,ESPN2,0.65,1.062
BOISE,11/9/18,ESPN2,0.51,0.819
WF,11/8/18,ESPN,0.5,0.744
WVU,11/10/18,FS1,0.39,0.728
MIA,11/10/18,ESPN2,0.29,0.551
MINN,11/10/18,ESPN2,0.3,0.534
NIU,11/7/18,ESPN2,0.28,0.5
UNLV,11/10/18,ESPN2,,0.415
UCF,11/10/18,ESPN2,0.21,0.385
IAST,11/10/18,FS1,0.24,0.363
VT,11/10/18,ESPNU,,0.344
OHIO,11/7/18,ESPNU,,0.213
LSU,11/3/18,CBS,6.6,11.543
NEB,11/3/18,FOX,3.1,5.006
WVU,11/3/18,FOX,2.7,4.431
UGA,11/3/18,CBS,2.6,4.392
PSU,11/3/18,ESPN,2.5,4.252
ND,11/3/18,ESPN,1.9,3.293
OKLA,11/3/18,ABC,1.9,3.135
TAMU,11/3/18,ESPN,1.6,2.622
UCLA,11/3/18,FOX,1.2,1.947
CLEM,11/3/18,ABC,1.1,1.55
CAL,11/3/18,ESPN,0.9,1.495
PITT,11/2/18,ESPN2,0.9,1.359
FSU,11/3/18,ABC,0.9,1.347
UCF,11/1/18,ESPN,0.8,1.191
IOWA,11/3/18,ESPN2,0.6,1.092
UMD,11/3/18,ESPN2,0.5,0.762
MIA,11/3/18,ESPN2,0.36,0.62
BAYL,11/3/18,FS1,0.31,0.487
BUFF,10/30/18,ESPN2,0.34,0.482
TCU,11/3/18,FS1,0.24,0.477
AZ,11/2/18,FS1,,0.474
BOISE,11/3/18,ESPN2,0.28,0.47
OR-ST,11/3/18,FS1,0.26,0.418
UGA,10/27/18,CBS,3.9,6.347
TEX,10/27/18,ABC,2.1,3.486
IOWA,10/27/18,ESPN,2,3.267
CLEM,10/27/18,ABC,2,3.163
ND,10/27/18,CBS,1.5,2.447
PUR,10/27/18,ESPN,1.5,2.378
WIS,10/27/18,FOX,1.5,2.241
TAMU,10/27/18,ESPN,1.3,2.178
UH,10/27/18,ABC,1.4,2.035
OKLA,10/27/18,FOX,1.3,1.989
BC,10/26/18,ESPN,0.8,1.36
AZ,10/27/18,ESPN,0.7,1.186
GT,10/25/18,ESPN,0.6,0.968
IAST,10/27/18,ESPN2,0.55,0.885
UCLA,10/26/18,ESPN,0.47,0.701
SYR,10/27/18,ESPN2,0.39,0.68
WVU,10/25/18,FS1,0.35,0.577
CAL,10/27/18,FS1,0.35,0.563
MINN,10/26/18,FS1,,0.335
TCU,10/27/18,FS1,0.19,0.325
HAWAII,10/27/18,ESPN2,,0.197
APP-ST,10/25/18,ESPNU,,0.105
PUR,10/20/18,ABC,3.8,6.292
MICH,10/20/18,FOX,3.4,5.416
BAMA,10/20/18,CBS,2.6,4.305
WASH,10/20/18,FOX,2,3.173
PSU,10/20/18,ABC,2,3.133
LSU,10/20/18,ESPN,1.9,3.106
ORE,10/20/18,FOX,1.6,2.591
TCU,10/20/18,ABC,1.7,2.488
AUB,10/20/18,ESPN,1.3,2.211
CLEM,10/20/18,ESPN,1.1,1.806
ASU,10/18/18,ESPN,0.52,0.808
WIS,10/20/18,FS1,0.47,0.783
UMD,10/20/18,ESPN2,0.43,0.701
UCLA,10/20/18,ESPN2,0.39,0.614
FSU,10/20/18,ESPN2,0.34,0.576
ECU,10/20/18,ESPN2,0.27,0.486
KAN,10/20/18,FS1,0.3,0.472
BOISE,10/19/18,ESPN2,,0.42
MICH,10/13/18,ABC,3.5,6.038
LSU,10/13/18,CBS,3.3,5.539
BAMA,10/13/18,ESPN,2.05,3.758
ORE,10/13/18,ABC,1.9,2.99
PITT,10/13/18,NBC,1.8,2.821
UF,10/13/18,ESPN,1.5,2.497
NEB,10/13/18,ABC,1.7,2.428
OHST,10/13/18,FS1,1.5,2.405
TEX,10/13/18,ESPN,1,1.783
WVU,10/13/18,FS1,0.75,1.323
TCU,10/11/18,ESPN,0.8,1.233
USC,10/13/18,FS1,0.7,1.184
USF,10/12/18,ESPN,0.7,1.17
UTAH,10/12/18,ESPN,0.6,1.011
UVA,10/13/18,ESPN2,0.53,0.87
IOWA,10/13/18,ESPN2,0.45,0.74
BYU,10/13/18,ESPN2,0.38,0.646
ILL,10/13/18,FS1,0.33,0.501
OKST,10/13/18,ESPNU,,0.422
VT,10/13/18,ESPNU,,0.389
WYO,10/13/18,ESPNU,,0.128
TEX,10/6/18,FOX,3.5,5.608
LSU,10/6/18,CBS,2.9,4.703
VT,10/6/18,ABC,2.7,4.473
OHST,10/6/18,FOX,2.45,3.988
MIA,10/6/18,ABC,1.8,2.81
TAMU,10/6/18,ESPN,1.4,2.547
BAMA,10/6/18,ESPN,1.5,2.495
MICH,10/6/18,ABC,1.5,2.329
UCLA,10/6/18,FOX,1.3,2.027
AUB,10/6/18,ESPN2,0.8,1.528
UTAH,10/6/18,ESPN,0.9,1.415
GT,10/5/18,ESPN,0.6,0.996
CLEM,10/6/18,ESPN,0.6,0.966
WVU,10/6/18,ESPN2,0.45,0.731
OKST,10/6/18,ESPN2,0.44,0.726
NWST,10/6/18,FS1,0.4,0.62
BYU,10/5/18,ESPN2,0.36,0.617
UH,10/4/18,ESPN,0.38,0.562
CAL,10/6/18,FS1,0.22,0.406
KSU,10/6/18,FS1,0.2,0.317
BOISE,10/6/18,ESPNU,,0.269
PSU,9/29/18,ABC,5.3,9.141
CLEM,9/29/18,ABC,3,4.475
UGA,9/29/18,CBS,2.3,3.64
MICH,9/29/18,FOX,2.3,3.618
ND,9/29/18,NBC,2.1,3.443
OKLA,9/29/18,ABC,1.8,2.767
LSU,9/29/18,ESPN,1.1,2.023
UF,9/29/18,ESPN,1.1,1.903
TAMU,9/29/18,ESPN,1,1.596
WASH,9/29/18,FOX,0.8,1.286
WVU,9/29/18,ESPN2,0.7,1.147
LOU,9/29/18,ESPN2,0.7,1.057
UNC,9/27/18,ESPN,0.6,1.007
TEX,9/29/18,FS1,0.6,0.974
UCLA,9/28/18,FS1,0.52,0.84
USC,9/29/18,ESPN2,0.46,0.756
ORE,9/29/18,FS1,0.44,0.75
TULN,9/28/18,ESPN2,0.48,0.738
VT,9/29/18,ESPN2,0.41,0.723
MIST,9/29/18,FS1,0.28,0.425
TCU,9/29/18,ESPNU,,0.366
PITT,9/29/18,ESPNU,,0.246
TAMU,9/22/18,CBS,3.4,5.65
ORE,9/22/18,ABC,2.5,4.165
UGA,9/22/18,ESPN,2,3.328
IOWA,9/22/18,FOX,2,3.313
TCU,9/22/18,FOX,1.7,2.887
ND,9/22/18,ABC,1.7,2.439
UF,9/22/18,ESPN,1.2,2.108
WASH,9/22/18,ESPN,1.1,1.834
CLEM,9/22/18,ABC,1.2,1.808
USC,9/21/18,ESPN,1.1,1.644
NEB,9/22/18,FS1,0.9,1.449
UCF,9/21/18,ESPN,0.85,1.295
WVU,9/22/18,ESPN,0.8,1.241
MS-ST,9/22/18,ESPN2,0.7,1.219
PSU,9/21/18,FS1,0.7,1.17
OKST,9/22/18,FS1,0.51,0.868
TEMPLE,9/20/18,ESPN,0.48,0.728
LSU,9/22/18,ESPNU,,0.616
PUR,9/22/18,ESPN2,0.3,0.424
BAYL,9/22/18,FS1,0.27,0.414
MIA,9/22/18,ESPN2,0.22,0.345
NIU,9/22/18,ESPNU,,0.312
AF,9/22/18,ESPN2,,0.277
OHIO,9/22/18,ESPNU,,0.211
TCU,9/15/18,ABC,4.2,7.232
LSU,9/15/18,CBS,3.5,5.936
BAMA,9/15/18,ESPN,2.3,4.109
OKLA,9/15/18,ABC,2.2,3.346
USC,9/15/18,FOX,1.8,2.95
BYU,9/15/18,ABC,1.9,2.913
VANDY,9/15/18,NBC,1.4,2.108
FSU,9/15/18,ESPN,1.2,1.869
WASH,9/15/18,ESPN,1,1.589
OKST,9/15/18,ESPN,0.85,1.438
UH,9/15/18,FOX,0.7,1.079
PSU,9/15/18,FS1,0.43,0.893
WF,9/13/18,ESPN,0.6,0.863
GA-ST,9/14/18,ESPN,0.51,0.79
CLEM,9/15/18,ESPNU,,0.554
MIA,9/15/18,ESPN2,0.28,0.461
UGA,9/15/18,ESPNEWS,,0.44
UCLA,9/15/18,FS1,0.18,0.301
BAYL,9/15/18,FS1,,0.291
TAMU,9/8/18,ESPN,2.6,4.486
UGA,9/8/18,CBS,2.3,3.747
NEB,9/8/18,ABC,2.1,3.394
PSU,9/8/18,ABC,2,3.286
UCLA,9/8/18,FOX,1.8,2.896
UH,9/8/18,ABC,1.7,2.539
ND,9/8/18,NBC,1.6,2.453
ASU,9/8/18,ESPN,1.5,2.297
USC,9/8/18,FOX,1.4,2.29
IOWA,9/8/18,FOX,1.2,2.017
KSU,9/8/18,ESPN,1.1,1.8
BAMA,9/8/18,ESPN2,1,1.663
TCU,9/7/18,ESPN2,0.7,1.076
MICH,9/8/18,FS1,0.6,0.914
LSU,9/8/18,ESPN2,0.5,0.858
BYU,9/8/18,ESPN2,0.34,0.586
MINN,9/8/18,FS1,0.23,0.395
ND,9/1/18,NBC,4,7.091
LSU,9/2/18,ABC,3.8,6.553
FSU,9/3/18,ESPN,3.4,5.576
AUB,9/1/18,ABC,3.2,5.253
BAMA,9/1/18,ABC,2.7,4.54
OR-ST,9/1/18,ABC,2.2,3.487
TENN,9/1/18,CBS,1.6,2.647
MISS,9/1/18,ESPN,1.2,1.929
PUR,8/30/18,ESPN,1,1.741
WIS,8/31/18,ESPN,0.9,1.409
OKLA,9/1/18,FOX,0.9,1.385
BYU,9/1/18,ESPN,0.75,1.288
UMD,9/1/18,FS1,0.8,1.274
UGA,9/1/18,ESPN,0.7,1.193
UCLA,9/1/18,ESPN,0.6,1.008
CAL,9/1/18,FOX,0.6,0.93
STAN,8/31/18,FS1,0.38,0.596
DUKE,8/31/18,ESPNU,0.3,0.503
UCONN,8/30/18,ESPNU,0.26,0.444
NCAT,9/2/18,ESPN2,0.25,0.362
OKST,8/30/18,FS1,0.2,0.337
NCAT,8/25/18,ESPN,0.35,0.564
UNM,8/25/18,ESPN2,0.29,0.464
