team,date,network,rating,viewers
CLEM,1/7/19,ESPN,13.8,25.28
BAMA,12/29/18,ESPN,9.9,19.069
ND,12/29/18,ESPN,9.4,16.809
WASH,1/1/19,ESPN,8.9,16.781
TEX,1/1/19,ESPN,7.3,13.298
LSU,1/1/19,ESPN,4.7,8.471
UF,12/29/18,ESPN,5,8.366
PSU,1/1/19,ABC,4.4,7.709
IAST,12/28/18,ESPN,3.2,5.547
TAMU,12/31/18,ESPN,2.7,5.142
WVU,12/28/18,ESPN,2.8,4.828
OKST,12/31/18,ESPN,2.3,3.83
MIA,12/27/18,ESPN,2.3,3.79
ORE,12/31/18,FOX,2.3,3.785
BAYL,12/27/18,ESPN,2,3.343
ASU,12/15/18,ABC,2.25,3.334
MS-ST,1/1/19,ESPN2,1.8,3.256
TCU,12/26/18,ESPN,1.6,2.7
MINN,12/26/18,ESPN,1.6,2.686
CINCI,12/31/18,ESPN,1.7,2.663
PITT,12/31/18,CBS,1.8,2.617
USMA,12/22/18,ESPN,1.6,2.577
AUB,12/28/18,ESPN,1.6,2.573
UVA,12/29/18,ABC,1.65,2.55
WF,12/22/18,ESPN,1.6,2.533
NCAT,12/15/18,ABC,1.6,2.345
DUKE,12/27/18,ESPN,1.2,1.801
UTAH,12/31/18,FS1,0.9,1.787
MARSH,12/20/18,ESPN,1.1,1.75
TROY,12/22/18,ESPN,1,1.698
OHIO,12/19/18,ESPN,0.9,1.447
BC,12/26/18,ESPN,0.9,1.445
BYU,12/21/18,ESPN,0.9,1.372
MTSU,12/15/18,ESPN,0.8,1.371
UAB,12/18/18,ESPN,0.8,1.346
HAWAII,12/22/18,ESPN,0.75,1.159
ND-ST,1/5/19,ESPN2,0.6,1.004
GA-SO,12/15/18,ESPN,0.6,0.986
UT-ST,12/15/18,ESPN,0.7,0.968
FIU,12/21/18,ESPN,0.56,0.838
SD-ST,12/14/18,ESPN2,0.51,0.846
MAINE,12/15/18,ESPN2,0.28,0.448
USMA,12/8/18,CBS,5,8.05
ND-ST,12/8/18,ESPN,1.1,1.806
MAINE,12/7/18,ESPN2,0.36,0.566
BAMA,12/1/18,CBS,10.1,17.499
OKLA,12/1/18,ABC,6.2,10.155
NWST,12/1/18,FOX,5,8.659
