G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
5,Oct 5 2019,4:00 PM,Sat,Georgia Tech,,North Carolina,ACC,L,22,38,1,4,L 3,,
6,Oct 12 2019,12:30 PM,Sat,Georgia Tech,@,Duke,ACC,L,23,41,1,5,L 4,,
7,Oct 19 2019,12:00 PM,Sat,Georgia Tech,@,Miami (FL),ACC,W,28,21,2,5,W 1,,
8,Nov 2 2019,4:00 PM,Sat,Georgia Tech,,Pitt,ACC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Georgia Tech,@,Virginia,ACC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Georgia Tech,,Virginia Tech,ACC,,,,,,,,
11,Nov 21 2019,8:00 PM,Thu,Georgia Tech,,North Carolina State,ACC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Georgia Tech,,(10) Georgia,SEC,,,,,,,,
1,Aug 29 2019,7:00 PM,Thu,Cincinnati,,UCLA,Pac-12,W,24,14,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Cincinnati,@,(5) Ohio State,Big Ten,L,0,42,1,1,L 1,,
3,Sep 14 2019,12:00 PM,Sat,Cincinnati,,Miami (OH),MAC,W,35,13,2,1,W 1,,
4,Sep 28 2019,5:00 PM,Sat,Cincinnati,@,Marshall,CUSA,W,52,14,3,1,W 2,,
5,Oct 4 2019,8:00 PM,Fri,Cincinnati,,(18) UCF,American,W,27,24,4,1,W 3,,
6,Oct 12 2019,3:30 PM,Sat,(25) Cincinnati,@,Houston,American,W,38,23,5,1,W 4,,
7,Oct 19 2019,3:30 PM,Sat,(21) Cincinnati,,Tulsa,American,W,24,13,6,1,W 5,,
8,Nov 2 2019,7:00 PM,Sat,(18) Cincinnati,@,East Carolina,American,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(18) Cincinnati,,Connecticut,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(18) Cincinnati,@,South Florida,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(18) Cincinnati,,Temple,American,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,(18) Cincinnati,@,Memphis,American,,,,,,,,
1,Aug 31 2019,3:00 PM,Sat,Temple,,Bucknell,Non-Major,W,56,12,1,0,W 1,,
2,Sep 14 2019,12:00 PM,Sat,Temple,,(21) Maryland,Big Ten,W,20,17,2,0,W 2,,
3,Sep 21 2019,3:30 PM,Sat,Temple,@,Buffalo,MAC,L,22,38,2,1,L 1,,
4,Sep 28 2019,3:30 PM,Sat,Temple,,Georgia Tech,ACC,W,24,2,3,1,W 1,,
5,Oct 3 2019,8:00 PM,Thu,Temple,@,East Carolina,American,W,27,17,4,1,W 2,,
6,Oct 12 2019,12:00 PM,Sat,Temple,,(23) Memphis,American,W,30,28,5,1,W 3,,
7,Oct 19 2019,3:30 PM,Sat,Temple,@,(19) SMU,American,L,21,45,5,2,L 1,,
8,Oct 26 2019,7:00 PM,Sat,Temple,,UCF,American,,,,,,,,
9,Nov 7 2019,8:00 PM,Thu,Temple,@,South Florida,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Temple,,Tulane,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Temple,@,(18) Cincinnati,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Temple,,Connecticut,American,,,,,,,,
1,Aug 29 2019,7:30 PM,Thu,(17) UCF,,Florida A&M,Non-Major,W,62,0,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,(18) UCF,@,Florida Atlantic,CUSA,W,48,14,2,0,W 2,,
3,Sep 14 2019,3:30 PM,Sat,(17) UCF,,Stanford,Pac-12,W,45,27,3,0,W 3,,
4,Sep 21 2019,3:30 PM,Sat,(15) UCF,@,Pitt,ACC,L,34,35,3,1,L 1,,
5,Sep 28 2019,7:00 PM,Sat,(22) UCF,,Connecticut,American,W,56,21,4,1,W 1,,
6,Oct 4 2019,8:00 PM,Fri,(18) UCF,@,Cincinnati,American,L,24,27,4,2,L 1,,
7,Oct 19 2019,7:00 PM,Sat,UCF,,East Carolina,American,W,41,28,5,2,W 1,,
8,Oct 26 2019,7:00 PM,Sat,UCF,@,Temple,American,,,,,,,,
9,Nov 2 2019,12:00 PM,Sat,UCF,,Houston,American,,,,,,,,
10,Nov 8 2019,7:00 PM,Fri,UCF,@,Tulsa,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,UCF,@,Tulane,American,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,UCF,,South Florida,American,,,,,,,,
1,Aug 30 2019,7:00 PM,Fri,South Florida,,(19) Wisconsin,Big Ten,L,0,49,0,1,L 1,,
2,Sep 7 2019,2:00 PM,Sat,South Florida,@,Georgia Tech,ACC,L,10,14,0,2,L 2,,
3,Sep 14 2019,6:00 PM,Sat,South Florida,,South Carolina State,Non-Major,W,55,16,1,2,W 1,,
4,Sep 28 2019,4:00 PM,Sat,South Florida,,SMU,American,L,21,48,1,3,L 1,,
5,Oct 5 2019,12:00 PM,Sat,South Florida,@,Connecticut,American,W,48,22,2,3,W 1,,
6,Oct 12 2019,3:30 PM,Sat,South Florida,,Brigham Young,Ind,W,27,23,3,3,W 2,,
7,Oct 19 2019,3:30 PM,Sat,South Florida,@,Navy,American,L,3,35,3,4,L 1,,
8,Oct 26 2019,3:45 PM,Sat,South Florida,@,East Carolina,American,,,,,,,,
9,Nov 7 2019,8:00 PM,Thu,South Florida,,Temple,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,South Florida,,(18) Cincinnati,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,South Florida,,Memphis,American,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,South Florida,@,UCF,American,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,East Carolina,@,North Carolina State,ACC,L,6,34,0,1,L 1,,
2,Sep 7 2019,6:00 PM,Sat,East Carolina,,Gardner-Webb,Non-Major,W,48,9,1,1,W 1,,
3,Sep 14 2019,3:30 PM,Sat,East Carolina,@,Navy,American,L,10,42,1,2,L 1,,
4,Sep 21 2019,6:00 PM,Sat,East Carolina,,William & Mary,Non-Major,W,19,7,2,2,W 1,,
5,Sep 28 2019,6:00 PM,Sat,East Carolina,@,Old Dominion,CUSA,W,24,21,3,2,W 2,,
6,Oct 3 2019,8:00 PM,Thu,East Carolina,,Temple,American,L,17,27,3,3,L 1,,
7,Oct 19 2019,7:00 PM,Sat,East Carolina,@,UCF,American,L,28,41,3,4,L 2,,
8,Oct 26 2019,3:45 PM,Sat,East Carolina,,South Florida,American,,,,,,,,
9,Nov 2 2019,7:00 PM,Sat,East Carolina,,(18) Cincinnati,American,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,East Carolina,@,(16) SMU,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,East Carolina,@,Connecticut,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,East Carolina,,Tulsa,American,,,,,,,,
1,Aug 29 2019,7:00 PM,Thu,Connecticut,,Wagner,Non-Major,W,24,21,1,0,W 1,,
2,Sep 7 2019,3:30 PM,Sat,Connecticut,,Illinois,Big Ten,L,23,31,1,1,L 1,,
3,Sep 21 2019,12:00 PM,Sat,Connecticut,@,Indiana,Big Ten,L,3,38,1,2,L 2,,
4,Sep 28 2019,7:00 PM,Sat,Connecticut,@,(22) UCF,American,L,21,56,1,3,L 3,,
5,Oct 5 2019,12:00 PM,Sat,Connecticut,,South Florida,American,L,22,48,1,4,L 4,,
6,Oct 12 2019,3:45 PM,Sat,Connecticut,@,Tulane,American,L,7,49,1,5,L 5,,
7,Oct 19 2019,12:00 PM,Sat,Connecticut,,Houston,American,L,17,24,1,6,L 6,,
8,Oct 26 2019,3:30 PM,Sat,Connecticut,@,Massachusetts,Ind,,,,,,,,
9,Nov 1 2019,8:00 PM,Fri,Connecticut,,Navy,American,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Connecticut,@,(18) Cincinnati,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Connecticut,,East Carolina,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Connecticut,@,Temple,American,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,SMU,@,Arkansas State,Sun Belt,W,37,30,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,SMU,,North Texas,CUSA,W,49,27,2,0,W 2,,
3,Sep 14 2019,7:00 PM,Sat,SMU,,Texas State,Sun Belt,W,47,17,3,0,W 3,,
4,Sep 21 2019,3:30 PM,Sat,SMU,@,(25) Texas Christian,Big 12,W,41,38,4,0,W 4,,
5,Sep 28 2019,4:00 PM,Sat,SMU,@,South Florida,American,W,48,21,5,0,W 5,,
6,Oct 5 2019,7:30 PM,Sat,(24) SMU,,Tulsa,American,W,43,37,6,0,W 6,,
7,Oct 19 2019,3:30 PM,Sat,(19) SMU,,Temple,American,W,45,21,7,0,W 7,,
8,Oct 24 2019,7:30 PM,Thu,(16) SMU,@,Houston,American,W,34,31,8,0,W 8,,
9,Nov 2 2019,1:00 PM,Sat,(16) SMU,@,Memphis,American,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,(16) SMU,,East Carolina,American,,,,,,,,
11,Nov 23 2019,3:30 PM,Sat,(16) SMU,@,Navy,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(16) SMU,,Tulane,American,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,Navy,,Holy Cross,Non-Major,W,45,7,1,0,W 1,,
2,Sep 14 2019,3:30 PM,Sat,Navy,,East Carolina,American,W,42,10,2,0,W 2,,
3,Sep 26 2019,8:00 PM,Thu,Navy,@,Memphis,American,L,23,35,2,1,L 1,,
4,Oct 5 2019,3:30 PM,Sat,Navy,,Air Force,MWC,W,34,25,3,1,W 1,,
5,Oct 12 2019,7:30 PM,Sat,Navy,@,Tulsa,American,W,45,17,4,1,W 2,,
6,Oct 19 2019,3:30 PM,Sat,Navy,,South Florida,American,W,35,3,5,1,W 3,,
7,Oct 26 2019,3:30 PM,Sat,Navy,,Tulane,American,,,,,,,,
8,Nov 1 2019,8:00 PM,Fri,Navy,@,Connecticut,American,,,,,,,,
9,Nov 16 2019,2:30 PM,Sat,Navy,@,(8) Notre Dame,Ind,,,,,,,,
10,Nov 23 2019,3:30 PM,Sat,Navy,,(16) SMU,American,,,,,,,,
11,Nov 30 2019,12:00 PM,Sat,Navy,@,Houston,American,,,,,,,,
12,Dec 14 2019,3:00 PM,Sat,Navy,N,Army,Ind,,,,,,,,Lincoln Financial Field - Philadelphia Pennsylvania
1,Aug 31 2019,12:00 PM,Sat,Memphis,,Ole Miss,SEC,W,15,10,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Memphis,,Southern,Non-Major,W,55,24,2,0,W 2,,
3,Sep 14 2019,3:30 PM,Sat,Memphis,@,South Alabama,Sun Belt,W,42,6,3,0,W 3,,
4,Sep 26 2019,8:00 PM,Thu,Memphis,,Navy,American,W,35,23,4,0,W 4,,
5,Oct 5 2019,3:45 PM,Sat,Memphis,@,Louisiana-Monroe,Sun Belt,W,52,33,5,0,W 5,,
6,Oct 12 2019,12:00 PM,Sat,(23) Memphis,@,Temple,American,L,28,30,5,1,L 1,,
7,Oct 19 2019,7:00 PM,Sat,Memphis,,Tulane,American,W,47,17,6,1,W 1,,
8,Oct 26 2019,7:00 PM,Sat,Memphis,@,Tulsa,American,,,,,,,,
9,Nov 2 2019,1:00 PM,Sat,Memphis,,(16) SMU,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Memphis,@,Houston,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Memphis,@,South Florida,American,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Memphis,,(18) Cincinnati,American,,,,,,,,
1,Aug 29 2019,8:00 PM,Thu,Tulane,,Florida International,CUSA,W,42,14,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,Tulane,@,(10) Auburn,SEC,L,6,24,1,1,L 1,,
3,Sep 14 2019,8:00 PM,Sat,Tulane,,Missouri State,Non-Major,W,58,6,2,1,W 1,,
4,Sep 19 2019,8:00 PM,Thu,Tulane,,Houston,American,W,38,31,3,1,W 2,,
5,Oct 5 2019,12:00 PM,Sat,Tulane,@,Army,Ind,W,42,33,4,1,W 3,,
6,Oct 12 2019,3:45 PM,Sat,Tulane,,Connecticut,American,W,49,7,5,1,W 4,,
7,Oct 19 2019,7:00 PM,Sat,Tulane,@,Memphis,American,L,17,47,5,2,L 1,,
8,Oct 26 2019,3:30 PM,Sat,Tulane,@,Navy,American,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,Tulane,,Tulsa,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Tulane,@,Temple,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Tulane,,UCF,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Tulane,@,(16) SMU,American,,,,,,,,
1,Sep 1 2019,7:30 PM,Sun,Houston,@,(4) Oklahoma,Big 12,L,31,49,0,1,L 1,,
2,Sep 7 2019,8:00 PM,Sat,Houston,,Prairie View A&M,Non-Major,W,37,17,1,1,W 1,,
3,Sep 13 2019,9:15 PM,Fri,Houston,N,(20) Washington State,Pac-12,L,24,31,1,2,L 1,,
4,Sep 19 2019,8:00 PM,Thu,Houston,@,Tulane,American,L,31,38,1,3,L 2,,
5,Sep 28 2019,8:00 PM,Sat,Houston,@,North Texas,CUSA,W,46,25,2,3,W 1,,
6,Oct 12 2019,3:30 PM,Sat,Houston,,(25) Cincinnati,American,L,23,38,2,4,L 1,,
7,Oct 19 2019,12:00 PM,Sat,Houston,@,Connecticut,American,W,24,17,3,4,W 1,,
8,Oct 24 2019,7:30 PM,Thu,Houston,,(16) SMU,American,L,31,34,3,5,L 1,,
9,Nov 2 2019,12:00 PM,Sat,Houston,@,UCF,American,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Houston,,Memphis,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Houston,@,Tulsa,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Houston,,Navy,American,,,,,,,,
1,Aug 30 2019,7:00 PM,Fri,Tulsa,@,(18) Michigan State,Big Ten,L,7,28,0,1,L 1,,
2,Sep 7 2019,9:00 PM,Sat,Tulsa,@,San Jose State,MWC,W,34,16,1,1,W 1,,
3,Sep 14 2019,3:30 PM,Sat,Tulsa,,Oklahoma State,Big 12,L,21,40,1,2,L 1,,
4,Sep 21 2019,3:30 PM,Sat,Tulsa,,Wyoming,MWC,W,24,21,2,2,W 1,,
5,Oct 5 2019,7:30 PM,Sat,Tulsa,@,(24) SMU,American,L,37,43,2,3,L 1,,
6,Oct 12 2019,7:30 PM,Sat,Tulsa,,Navy,American,L,17,45,2,4,L 2,,
7,Oct 19 2019,3:30 PM,Sat,Tulsa,@,(21) Cincinnati,American,L,13,24,2,5,L 3,,
8,Oct 26 2019,7:00 PM,Sat,Tulsa,,Memphis,American,,,,,,,,
9,Nov 2 2019,4:00 PM,Sat,Tulsa,@,Tulane,American,,,,,,,,
10,Nov 8 2019,7:00 PM,Fri,Tulsa,,UCF,American,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Tulsa,,Houston,American,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Tulsa,@,East Carolina,American,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Baylor,,Stephen F. Austin,Non-Major,W,56,17,1,0,W 1,,
2,Sep 7 2019,4:00 PM,Sat,Baylor,,UTSA,CUSA,W,63,14,2,0,W 2,,
3,Sep 21 2019,7:00 PM,Sat,Baylor,@,Rice,CUSA,W,21,13,3,0,W 3,,
4,Sep 28 2019,3:30 PM,Sat,Baylor,,Iowa State,Big 12,W,23,21,4,0,W 4,,
5,Oct 5 2019,3:30 PM,Sat,Baylor,@,Kansas State,Big 12,W,31,12,5,0,W 5,,
6,Oct 12 2019,4:00 PM,Sat,(22) Baylor,,Texas Tech,Big 12,W,33,30,6,0,W 6,,
7,Oct 19 2019,4:00 PM,Sat,(18) Baylor,@,Oklahoma State,Big 12,W,45,27,7,0,W 7,,
8,Oct 31 2019,8:00 PM,Thu,(14) Baylor,,West Virginia,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(14) Baylor,@,Texas Christian,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(14) Baylor,,(5) Oklahoma,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(14) Baylor,,(15) Texas,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(14) Baylor,@,Kansas,Big 12,,,,,,,,
1,Sep 1 2019,7:30 PM,Sun,(4) Oklahoma,,Houston,American,W,49,31,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,(4) Oklahoma,,South Dakota,Non-Major,W,70,14,2,0,W 2,,
3,Sep 14 2019,8:00 PM,Sat,(5) Oklahoma,@,UCLA,Pac-12,W,48,14,3,0,W 3,,
4,Sep 28 2019,12:00 PM,Sat,(6) Oklahoma,,Texas Tech,Big 12,W,55,16,4,0,W 4,,
5,Oct 5 2019,12:00 PM,Sat,(6) Oklahoma,@,Kansas,Big 12,W,45,20,5,0,W 5,,
6,Oct 12 2019,12:00 PM,Sat,(6) Oklahoma,N,(11) Texas,Big 12,W,34,27,6,0,W 6,,
7,Oct 19 2019,12:00 PM,Sat,(5) Oklahoma,,West Virginia,Big 12,W,52,14,7,0,W 7,,
8,Oct 26 2019,12:00 PM,Sat,(5) Oklahoma,@,Kansas State,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(5) Oklahoma,,(23) Iowa State,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(5) Oklahoma,@,(14) Baylor,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(5) Oklahoma,,Texas Christian,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(5) Oklahoma,@,Oklahoma State,Big 12,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,(21) Iowa State,,Northern Iowa,Non-Major,W,29,26,1,0,W 1,,
2,Sep 14 2019,4:00 PM,Sat,Iowa State,,(19) Iowa,Big Ten,L,17,18,1,1,L 1,,
3,Sep 21 2019,12:00 PM,Sat,Iowa State,,Louisiana-Monroe,Sun Belt,W,72,20,2,1,W 1,,
4,Sep 28 2019,3:30 PM,Sat,Iowa State,@,Baylor,Big 12,L,21,23,2,2,L 1,,
5,Oct 5 2019,12:00 PM,Sat,Iowa State,,Texas Christian,Big 12,W,49,24,3,2,W 1,,
6,Oct 12 2019,4:00 PM,Sat,Iowa State,@,West Virginia,Big 12,W,38,14,4,2,W 2,,
7,Oct 19 2019,12:00 PM,Sat,Iowa State,@,Texas Tech,Big 12,W,34,24,5,2,W 3,,
8,Oct 26 2019,3:30 PM,Sat,(23) Iowa State,,Oklahoma State,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(23) Iowa State,@,(5) Oklahoma,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(23) Iowa State,,(15) Texas,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(23) Iowa State,,Kansas,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,(23) Iowa State,@,Kansas State,Big 12,,,,,,,,
1,Aug 31 2019,8:00 PM,Sat,(10) Texas,,Louisiana Tech,CUSA,W,45,14,1,0,W 1,,
2,Sep 7 2019,7:30 PM,Sat,(9) Texas,,(6) LSU,SEC,L,38,45,1,1,L 1,,
3,Sep 14 2019,8:00 PM,Sat,(12) Texas,N,Rice,CUSA,W,48,13,2,1,W 1,,
4,Sep 21 2019,7:30 PM,Sat,(12) Texas,,Oklahoma State,Big 12,W,36,30,3,1,W 2,,
5,Oct 5 2019,3:30 PM,Sat,(11) Texas,@,West Virginia,Big 12,W,42,31,4,1,W 3,,
6,Oct 12 2019,12:00 PM,Sat,(11) Texas,N,(6) Oklahoma,Big 12,L,27,34,4,2,L 1,,
7,Oct 19 2019,7:00 PM,Sat,(15) Texas,,Kansas,Big 12,W,50,48,5,2,W 1,,
8,Oct 26 2019,3:30 PM,Sat,(15) Texas,@,Texas Christian,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,(15) Texas,,Kansas State,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,(15) Texas,@,(23) Iowa State,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,(15) Texas,@,(14) Baylor,Big 12,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,(15) Texas,,Texas Tech,Big 12,,,,,,,,
1,Aug 31 2019,7:00 PM,Sat,Kansas State,,Nicholls State,Non-Major,W,49,14,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,Kansas State,,Bowling Green State,MAC,W,52,0,2,0,W 2,,
3,Sep 14 2019,12:00 PM,Sat,Kansas State,@,Mississippi State,SEC,W,31,24,3,0,W 3,,
4,Sep 28 2019,7:00 PM,Sat,(24) Kansas State,@,Oklahoma State,Big 12,L,13,26,3,1,L 1,,
5,Oct 5 2019,3:30 PM,Sat,Kansas State,,Baylor,Big 12,L,12,31,3,2,L 2,,
6,Oct 19 2019,2:30 PM,Sat,Kansas State,,Texas Christian,Big 12,W,24,17,4,2,W 1,,
7,Oct 26 2019,12:00 PM,Sat,Kansas State,,(5) Oklahoma,Big 12,,,,,,,,
8,Nov 2 2019,3:30 PM,Sat,Kansas State,@,Kansas,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Kansas State,@,(15) Texas,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Kansas State,,West Virginia,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Kansas State,@,Texas Tech,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Kansas State,,(23) Iowa State,Big 12,,,,,,,,
1,Aug 31 2019,8:00 PM,Sat,Texas Christian,,Arkansas-Pine Bluff,Non-Major,W,39,7,1,0,W 1,,
2,Sep 14 2019,7:30 PM,Sat,Texas Christian,@,Purdue,Big Ten,W,34,13,2,0,W 2,,
3,Sep 21 2019,3:30 PM,Sat,(25) Texas Christian,,SMU,American,L,38,41,2,1,L 1,,
4,Sep 28 2019,12:00 PM,Sat,Texas Christian,,Kansas,Big 12,W,51,14,3,1,W 1,,
5,Oct 5 2019,12:00 PM,Sat,Texas Christian,@,Iowa State,Big 12,L,24,49,3,2,L 1,,
6,Oct 19 2019,2:30 PM,Sat,Texas Christian,@,Kansas State,Big 12,L,17,24,3,3,L 2,,
7,Oct 26 2019,3:30 PM,Sat,Texas Christian,,(15) Texas,Big 12,,,,,,,,
8,Nov 2 2019,3:30 PM,Sat,Texas Christian,@,Oklahoma State,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Texas Christian,,(14) Baylor,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Texas Christian,@,Texas Tech,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Texas Christian,@,(5) Oklahoma,Big 12,,,,,,,,
12,Nov 29 2019,3:30 PM,Fri,Texas Christian,,West Virginia,Big 12,,,,,,,,
1,Aug 30 2019,10:30 PM,Fri,Oklahoma State,@,Oregon State,Pac-12,W,52,36,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,Oklahoma State,,McNeese State,Non-Major,W,56,14,2,0,W 2,,
3,Sep 14 2019,3:30 PM,Sat,Oklahoma State,@,Tulsa,American,W,40,21,3,0,W 3,,
4,Sep 21 2019,7:30 PM,Sat,Oklahoma State,@,(12) Texas,Big 12,L,30,36,3,1,L 1,,
5,Sep 28 2019,7:00 PM,Sat,Oklahoma State,,(24) Kansas State,Big 12,W,26,13,4,1,W 1,,
6,Oct 5 2019,12:00 PM,Sat,(21) Oklahoma State,@,Texas Tech,Big 12,L,35,45,4,2,L 1,,
7,Oct 19 2019,4:00 PM,Sat,Oklahoma State,,(18) Baylor,Big 12,L,27,45,4,3,L 2,,
8,Oct 26 2019,3:30 PM,Sat,Oklahoma State,@,(23) Iowa State,Big 12,,,,,,,,
9,Nov 2 2019,3:30 PM,Sat,Oklahoma State,,Texas Christian,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Oklahoma State,,Kansas,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Oklahoma State,@,West Virginia,Big 12,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Oklahoma State,,(5) Oklahoma,Big 12,,,,,,,,
1,Aug 31 2019,4:00 PM,Sat,Texas Tech,,Montana State,Non-Major,W,45,10,1,0,W 1,,
2,Sep 7 2019,8:00 PM,Sat,Texas Tech,,UTEP,CUSA,W,38,3,2,0,W 2,,
3,Sep 14 2019,10:30 PM,Sat,Texas Tech,@,Arizona,Pac-12,L,14,28,2,1,L 1,,
4,Sep 28 2019,12:00 PM,Sat,Texas Tech,@,(6) Oklahoma,Big 12,L,16,55,2,2,L 2,,
5,Oct 5 2019,12:00 PM,Sat,Texas Tech,,(21) Oklahoma State,Big 12,W,45,35,3,2,W 1,,
6,Oct 12 2019,4:00 PM,Sat,Texas Tech,@,(22) Baylor,Big 12,L,30,33,3,3,L 1,,
7,Oct 19 2019,12:00 PM,Sat,Texas Tech,,Iowa State,Big 12,L,24,34,3,4,L 2,,
8,Oct 26 2019,7:00 PM,Sat,Texas Tech,@,Kansas,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Texas Tech,@,West Virginia,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Texas Tech,,Texas Christian,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Texas Tech,,Kansas State,Big 12,,,,,,,,
12,Nov 29 2019,12:00 PM,Fri,Texas Tech,@,(15) Texas,Big 12,,,,,,,,
1,Aug 31 2019,2:00 PM,Sat,West Virginia,,James Madison,Non-Major,W,20,13,1,0,W 1,,
2,Sep 7 2019,12:00 PM,Sat,West Virginia,@,Missouri,SEC,L,7,38,1,1,L 1,,
3,Sep 14 2019,12:00 PM,Sat,West Virginia,,North Carolina State,ACC,W,44,27,2,1,W 1,,
4,Sep 21 2019,4:30 PM,Sat,West Virginia,@,Kansas,Big 12,W,29,24,3,1,W 2,,
5,Oct 5 2019,3:30 PM,Sat,West Virginia,,(11) Texas,Big 12,L,31,42,3,2,L 1,,
6,Oct 12 2019,4:00 PM,Sat,West Virginia,,Iowa State,Big 12,L,14,38,3,3,L 2,,
7,Oct 19 2019,12:00 PM,Sat,West Virginia,@,(5) Oklahoma,Big 12,L,14,52,3,4,L 3,,
8,Oct 31 2019,8:00 PM,Thu,West Virginia,@,(14) Baylor,Big 12,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,West Virginia,,Texas Tech,Big 12,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,West Virginia,@,Kansas State,Big 12,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,West Virginia,,Oklahoma State,Big 12,,,,,,,,
12,Nov 29 2019,3:30 PM,Fri,West Virginia,@,Texas Christian,Big 12,,,,,,,,
1,Aug 31 2019,12:00 PM,Sat,Kansas,,Indiana State,Non-Major,W,24,17,1,0,W 1,,
2,Sep 7 2019,7:00 PM,Sat,Kansas,,Coastal Carolina,Sun Belt,L,7,12,1,1,L 1,,
3,Sep 13 2019,7:30 PM,Fri,Kansas,@,Boston College,ACC,W,48,24,2,1,W 1,,
4,Sep 21 2019,4:30 PM,Sat,Kansas,,West Virginia,Big 12,L,24,29,2,2,L 1,,
