G,Date,Time,Day,School,LocType,Opponent,Conf,,Pts,Opp,W,L,Streak,TV,Notes
6,Oct 12 2019,7:30 PM,Sat,Kentucky,,Arkansas,SEC,W,24,20,3,3,W 1,,
7,Oct 19 2019,6:00 PM,Sat,Kentucky,@,(10) Georgia,SEC,L,0,21,3,4,L 1,,
8,Oct 26 2019,7:30 PM,Sat,Kentucky,,Missouri,SEC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Kentucky,,Tennessee,SEC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Kentucky,@,Vanderbilt,SEC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Kentucky,,Tennessee-Martin,Non-Major,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Kentucky,,Louisville,ACC,,,,,,,,
1,Aug 31 2019,3:30 PM,Sat,Tennessee,,Georgia State,Sun Belt,L,30,38,0,1,L 1,,
2,Sep 7 2019,7:00 PM,Sat,Tennessee,,Brigham Young,Ind,L,26,29,0,2,L 2,,
3,Sep 14 2019,12:00 PM,Sat,Tennessee,,Chattanooga,Non-Major,W,45,0,1,2,W 1,,
4,Sep 21 2019,12:00 PM,Sat,Tennessee,@,(9) Florida,SEC,L,3,34,1,3,L 1,,
5,Oct 5 2019,7:00 PM,Sat,Tennessee,,(3) Georgia,SEC,L,14,43,1,4,L 2,,
6,Oct 12 2019,12:00 PM,Sat,Tennessee,,Mississippi State,SEC,W,20,10,2,4,W 1,,
7,Oct 19 2019,9:00 PM,Sat,Tennessee,@,(1) Alabama,SEC,L,13,35,2,5,L 1,,
8,Oct 26 2019,4:00 PM,Sat,Tennessee,,South Carolina,SEC,,,,,,,,
9,Nov 2 2019,1:00 PM,Sat,Tennessee,,UAB,CUSA,,,,,,,,
10,Nov 9 2019,12:00 PM,Sat,Tennessee,@,Kentucky,SEC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Tennessee,@,Missouri,SEC,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Tennessee,,Vanderbilt,SEC,,,,,,,,
1,Aug 31 2019,7:30 PM,Sat,Vanderbilt,,(3) Georgia,SEC,L,6,30,0,1,L 1,,
2,Sep 7 2019,12:00 PM,Sat,Vanderbilt,@,Purdue,Big Ten,L,24,42,0,2,L 2,,
3,Sep 21 2019,12:00 PM,Sat,Vanderbilt,,(4) LSU,SEC,L,38,66,0,3,L 3,,
4,Sep 28 2019,12:00 PM,Sat,Vanderbilt,,Northern Illinois,MAC,W,24,18,1,3,W 1,,
5,Oct 5 2019,7:30 PM,Sat,Vanderbilt,@,Ole Miss,SEC,L,6,31,1,4,L 1,,
6,Oct 12 2019,4:00 PM,Sat,Vanderbilt,,Nevada-Las Vegas,MWC,L,10,34,1,5,L 2,,
7,Oct 19 2019,4:00 PM,Sat,Vanderbilt,,(22) Missouri,SEC,W,21,14,2,5,W 1,,
8,Nov 2 2019,1:00 PM,Sat,Vanderbilt,@,South Carolina,SEC,,,,,,,,
9,Nov 9 2019,12:00 PM,Sat,Vanderbilt,@,(7) Florida,SEC,,,,,,,,
10,Nov 16 2019,12:00 PM,Sat,Vanderbilt,,Kentucky,SEC,,,,,,,,
11,Nov 23 2019,12:00 PM,Sat,Vanderbilt,,East Tennessee State,Non-Major,,,,,,,,
12,Nov 30 2019,12:00 PM,Sat,Vanderbilt,@,Tennessee,SEC,,,,,,,,
1,Aug 29 2019,8:00 PM,Thu,(1) Clemson,,Georgia Tech,ACC,W,52,14,1,0,W 1,,
