team,date,network,rating,viewers
ND,9/23/17,FOX,2.1,3.456
USC,9/23/17,ABC,2,3.122
BAMA,9/23/17,CBS,1.9,2.993
MS-ST,9/23/17,ESPN,1.55,2.897
TAMU,9/23/17,ESPN,1.6,2.708
TCU,9/23/17,ESPN,1.5,2.574
UCLA,9/23/17,ESPN,1,1.677
OKLA,9/23/17,FS1,0.7,1.254
SYR,9/23/17,ESPN2,0.65,1.06
WASH,9/23/17,FS1,0.6,1.049
BC,9/23/17,ESPN2,0.5,0.816
AUB,9/23/17,ESPNU,,0.503
WVU,9/23/17,ESPNU,,0.493
HAWAII,9/23/17,ESPN2,0.3,0.455
DUKE,9/23/17,ESPNU,,0.436
UCF,9/23/17,FS1,,0.247
UAB,9/23/17,BEIN,,5
ECU,9/24/17,ESPNU,,84
TEX,9/28/17,ESPN,1,1.651
USC,9/29/17,ESPN,1.8,2.776
MIA,9/29/17,ESPN,1.1,1.709
NEB,9/29/17,FS1,0.55,1.071
CLEM,9/30/17,ABC,2.7,4.693
UGA,9/30/17,CBS,2.4,3.95
MISS,9/30/17,ESPN,1.8,3.028
FSU,9/30/17,ABC,1.9,2.955
NWST,9/30/17,ABC,1.9,2.89
VANDY,9/30/17,ESPN,1.8,2.815
OKST,9/30/17,FOX,1.6,2.685
IOWA,9/30/17,FOX,1.5,2.52
MS-ST,9/30/17,ESPN,1.4,2.383
COLO,9/30/17,ESPN2,0.6,1.039
TROY,9/30/17,ESPNU,,0.856
MIAOH,9/30/17,NBCSN,0.49,0.798
BAYL,9/30/17,ESPN2,0.43,0.67
CAL,9/30/17,FS1,0.35,0.649
UNC,9/30/17,ESPN2,0.39,0.578
UMD,9/30/17,FS1,0.33,0.511
MPHS,9/30/17,ESPN2,0.27,0.442
USNA,9/30/17,ESPNU,,0.251
UH,9/30/17,ESPNU,,0.209
SJSU,9/30/17,ESPNU,,0.106
CLT,9/30/17,BEIN,,4
AR-ST,10/4/17,ESPN2,,0.421
LOU,10/5/17,ESPN,1,1.549
BOISE,10/6/17,ESPN,,1.043
MPHS,10/6/17,ESPN,,0.769
MIST,10/7/17,ABC,3.7,6.628
BAMA,10/7/17,ESPN,2.7,4.774
LSU,10/7/17,CBS,2.5,4.128
PSU,10/7/17,ABC,1.9,2.887
MIA,10/7/17,ESPN,1.7,2.726
UMD,10/7/17,FOX,1.6,2.645
ND,10/7/17,ABC,1.6,2.505
IAST,10/7/17,FOX,1.6,2.432
UGA,10/7/17,ESPN,1.3,1.958
WASH-ST,10/7/17,FOX,1.15,1.922
CAL,10/7/17,ESPN,1,1.634
KSU,10/7/17,FS1,0.7,1.266
WVU,10/7/17,FS1,0.7,1.149
WF,10/7/17,ESPN2,0.6,0.864
STAN,10/7/17,FS1,0.39,0.631
MINN,10/7/17,ESPN2,0.39,0.586
VT,10/7/17,ESPN2,0.27,0.458
TXTEC,10/7/17,FS1,0.25,0.351
SDSU,10/7/17,ESPN2,0.21,0.344
UCF,10/7/17,ESPNU,,0.131
W-MICH,10/7/17,ESPNU,,90
TEMPLE,10/7/17,ESPNU,,61
USMA,10/7/17,BEIN,,0.010
TX-ST,10/12/17,ESPNU,,0.153
CLEM,10/13/17,ESPN,1.7,2.853
WASH-ST,10/13/17,ESPN,1.4,2.261
MICH,10/14/17,ABC,2.7,4.21
ARK,10/14/17,ESPN,2.2,3.866
OKLA,10/14/17,ESPN,2.1,3.619
AUB,10/14/17,CBS,2.25,3.595
GT,10/14/17,ABC,2.1,3.441
UTAH,10/14/17,ABC,2,3.236
SCAR,10/14/17,ESPN,1.7,2.532
OHST,10/14/17,FS1,1.3,2.417
WASH,10/14/17,ESPN,1.4,2.277
TAMU,10/14/17,ESPN2,1.2,2.112
FSU,10/14/17,ESPN2,0.6,0.894
TXTEC,10/14/17,ESPNU,,0.839
ORE,10/14/17,FS1,0.38,0.7
TCU,10/14/17,FS1,0.36,0.568
NWST,10/14/17,ESPN2,0.29,0.431
NV,10/14/17,ESPN2,0.27,0.421
BAYL,10/14/17,FS1,,0.299
USNA,10/14/17,ESPNU,,0.295
CINCI,10/14/17,ESPNU,,0.173
MPHS,10/19/17,ESPN,0.38,0.565
ULL,10/19/17,ESPNU,,72
MARSH,10/20/17,ESPN2,,0.453
CSU,10/20/17,ESPN2,,0.391
MICH,10/21/17,ABC,3.9,7.09
TENN,10/21/17,CBS,2.8,4.446
OKST,10/21/17,ABC,2.5,3.923
IU,10/21/17,ABC,2.2,3.547
OKLA,10/21/17,FOX,1.9,3
USC,10/21/17,NBC,1.8,2.988
LOU,10/21/17,ESPN,1.7,2.58
SYR,10/21/17,ESPN,1.3,2.093
LSU,10/21/17,ESPN,1.1,1.891
UMD,10/21/17,FOX,1,1.495
COLO,10/21/17,ESPN,0.8,1.392
KAN,10/21/17,FOX,0.7,1.191
IOWA,10/21/17,ESPN2,0.5,0.813
UNC,10/21/17,ESPN2,0.32,0.546
WYO,10/21/17,ESPN2,0.26,0.414
ASU,10/21/17,FS1,0.25,0.387
WVU,10/21/17,FS2,0.18,0.325
IAST,10/21/17,FS1,0.21,0.307
USF,10/21/17,ESPN2,,0.284
WF,10/21/17,ESPNU,,0.2
SMU,10/21/17,ESPNU,,0.102
TLSA,10/21/17,ESPNU,,70
STAN,10/26/17,ESPN,,1.162
SO-AL,10/26/17,ESPNU,,0.13
FSU,10/27/17,ESPN,0.9,1.397
TLSA,10/27/17,ESPN2,,0.225
PSU,10/28/17,FOX,5.75,9.972
CLEM,10/28/17,ABC,2,3.55
UGA,10/28/17,CBS,2,3.38
OKST,10/28/17,ABC,2.2,3.365
TCU,10/28/17,ABC,1.8,2.85
NCSU,10/28/17,NBC,1.6,2.625
WIS,10/28/17,ESPN,1.2,1.927
MS-ST,10/28/17,ESPN,0.9,1.64
MIA,10/28/17,ESPN2,0.9,1.419
USC,10/28/17,ESPN,0.8,1.381
MIST,10/28/17,ESPN,0.7,1.117
MINN,10/28/17,FS1,0.42,0.769
TEX,10/28/17,ESPNU,,0.601
KSU,10/28/17,FS1,0.2,0.323
UH,10/28/17,ESPNU,,0.177
UNM,10/28/17,ESPNU,,82
MIAOH,10/31/17,ESPN2,,0.276
BGSU,10/31/17,ESPNU,,70
C-MICH,11/1/17,ESPN2,,0.216
USNA,11/2/17,ESPN,0.51,0.758
NIU,11/2/17,ESPNU,,0.156
IDAHO,11/2/17,ESPNU,,0.13
MPHS,11/3/17,ESPN2,,0.683
UCLA,11/3/17,FS1,,0.563
LSU,11/4/17,CBS,3.9,6.729
OHST,11/4/17,ESPN,2.3,4.112
SCAR,11/4/17,CBS,2.1,3.482
PSU,11/4/17,FOX,1.9,3.102
VT,11/4/17,ABC,1.8,3.011
MINN,11/4/17,FOX,1.7,2.85
WIS,11/4/17,ABC,1.8,2.834
CLEM,11/4/17,ABC,1.8,2.831
AUB,11/4/17,ESPN,1.6,2.631
OKLA,11/4/17,FS1,1.4,2.486
STAN,11/4/17,FOX,1.3,1.987
AZ,11/4/17,ESPN,1.1,1.939
WF,11/4/17,NBC,1.2,1.903
TEX,11/4/17,ESPN,1.1,1.897
ORE,11/4/17,FS1,0.51,0.986
IAST,11/4/17,ESPN2,0.5,0.876
UF,11/4/17,ESPN2,0.48,0.793
KSU,11/4/17,FS1,0.35,0.54
UCF,11/4/17,ESPN2,0.22,0.369
BYU,11/4/17,ESPN2,0.2,0.324
NV,11/4/17,ESPNU,,0.143
SDSU,11/4/17,ESPNU,,83
WKY,11/4/17,ESPNU,,82
USF,11/4/17,ESPNU,,74
AKRN,11/7/17,ESPN2,,0.369
BGSU,11/7/17,ESPNU,,89
TOL,11/8/17,ESPN2,,0.471
E-MICH,11/8/17,ESPNU,,0.115
UNC,11/9/17,ESPN,0.7,1.015
GA-SO,11/9/17,ESPNU,,0.102
WASH,11/10/17,FS1,,1.057
TEMPLE,11/10/17,ESPN2,,0.697
BYU,11/10/17,ESPN2,,0.525
UGA,11/11/17,CBS,4.4,7.407
BAMA,11/11/17,ESPN,3.9,7.031
ND,11/11/17,ABC,3.9,6.727
IOWA,11/11/17,ABC,2.35,3.78
MIST,11/11/17,FOX,2.4,3.728
OKST,11/11/17,ABC,2,2.995
TCU,11/11/17,FOX,1.8,2.96
UF,11/11/17,CBS,1.5,2.391
ARK,11/11/17,ESPN,1.2,2.032
FSU,11/11/17,ESPN,1.1,1.872
USC,11/11/17,FOX,1.05,1.641
WVU,11/11/17,ESPN2,0.54,0.983
NEB,11/11/17,FS1,0.39,0.659
OR-ST,11/11/17,ESPN2,0.31,0.531
PUR,11/11/17,ESPN2,0.24,0.421
UNM,11/11/17,ESPNU,,0.222
UVA,11/11/17,ESPNU,,0.217
UCONN,11/11/17,ESPNU,,0.163
WYO,11/11/17,ESPNU,,0.159
OHIO,11/14/17,ESPN2,,0.31
C-MICH,11/14/17,ESPNU,,0.112
W-MICH,11/15/17,ESPN2,,0.385
TOL,11/15/17,ESPNU,,0.175
TLSA,11/16/17,ESPN,0.37,0.545
UNLV,11/17/17,ESPN2,,0.359
MICH,11/18/17,FOX,3.3,5.226
UCLA,11/18/17,ABC,2.5,4.048
KENTUCKY,11/18/17,CBS,2.1,3.397
UVA,11/18/17,ABC,2.1,3.339
USNA,11/18/17,NBC,2,3.203
ILL,11/18/17,ABC,1.9,3.093
LSU,11/18/17,ESPN,1.6,2.946
UMD,11/18/17,FOX,1.3,2.035
MS-ST,11/18/17,CBS,1.1,1.678
OKLA,11/18/17,ESPN,1,1.606
CAL,11/18/17,FOX,0.95,1.598
TEX,11/18/17,ESPN,1,1.594
NEB,11/18/17,FS1,0.8,1.564
UTAH,11/18/17,ESPN,0.9,1.537
TAMU,11/18/17,ESPN2,0.8,1.516
KSU,11/18/17,ESPN2,0.51,0.831
ULM,11/18/17,ESPN2,0.33,0.526
AF,11/18/17,ESPN2,0.26,0.436
NCSU,11/18/17,ESPNU,,0.412
TCU,11/18/17,FS1,0.25,0.388
SYR,11/18/17,ESPNU,,0.223
UCF,11/18/17,ESPNU,,0.144
KENT,11/21/17,ESPNU,,0.242
MISS,11/23/17,ESPN,1.2,2.468
USF,11/24/17,ABC,2.7,4.7
MIA,11/24/17,ABC,2.8,4.663
TXTEC,11/24/17,FOX,2.1,3.609
MIZZOU,11/24/17,CBS,,2.502
VT,11/24/17,ESPN,1.25,2.144
USNA,11/24/17,ESPN,,0.699
CAL,11/24/17,FS1,0.31,0.494
BAYL,11/24/17,FS1,,0.472
W-MICH,11/24/17,ESPNU,,0.132
BAMA,11/25/17,CBS,7.6,13.657
OHST,11/25/17,FOX,6.1,10.507
ND,11/25/17,ABC,3,5.332
CLEM,11/25/17,ESPN,2.2,4.032
UGA,11/25/17,ABC,1.7,2.766
WIS,11/25/17,ABC,1.5,2.6
WASH-ST,11/25/17,FOX,1.3,2.39
FSU,11/25/17,ESPN,1.2,2.056
MIST,11/25/17,FOX,1.2,2.012
WVU,11/25/17,ESPN,1.1,1.898
IOWA,11/24/17,FS1,,1.4
OR-ST,11/25/17,ESPN2,0.4,0.738
IAST,11/25/17,ESPN2,0.31,0.498
KAN,11/25/17,FS1,0.22,0.343
IU,11/25/17,ESPN2,0.22,0.336
UT-ST,11/25/17,ESPN2,,0.288
UNC,11/25/17,ESPNU,,0.271
COLO,11/25/17,FS1,,0.273
ECU,11/25/17,ESPNU,,81
UTSA,11/25/17,ESPNU,,81
USC,12/1/17,ESPN,2.3,3.657
UGA,12/2/17,CBS,8,13.466
OHST,12/2/17,FOX,7.3,12.918
OKLA,12/2/17,FOX,3.8,5.896
CLEM,12/2/17,ABC,3.2,5.428
UCF,12/2/17,ABC,2.3,3.385
TOL,12/2/17,ESPN,0.45,0.652
BOISE,12/2/17,ESPN,0.39,0.623
UNTX,12/2/17,ESPN2,,0.255
TROY,12/2/17,ESPN2,,0.225
BAMA,1/8/18,ESPN,15.6,28.443
UGA,1/1/18,ESPN,13.7,26.913
CLEM,1/1/18,ESPN,11.4,21.473
MIA,12/30/17,ESPN,6.3,11.727
WASH,12/30/17,ESPN,5.7,10.167
USC,12/29/17,ESPN,5.3,9.468
LSU,1/1/18,ABC,5.1,8.713
UCF,1/1/18,ESPN,4.6,8.377
MICH,1/1/18,ESPN2,2.8,5.05
KENTUCKY,12/29/17,ESPN,2.8,4.626
MS-ST,12/30/17,ESPN,2.7,4.424
TCU,12/28/17,ESPN,2.5,4.368
OKST,12/28/17,ESPN,2.6,4.358
IOWA,12/27/17,ESPN,2.3,4.008
IAST,12/30/17,ABC,2.2,3.438
TEX,12/27/17,ESPN,2.1,3.455
ORE,12/16/17,ABC,2.3,3.801
USMA,12/23/17,ESPN,2.1,3.485
USF,12/23/17,ESPN,2.15,3.397
KSU,12/26/17,ESPN,,3.261
WF,12/29/17,ESPN,,2.957
PUR,12/27/17,FOX,1.7,2.826
DUKE,12/26/17,ESPN,,2.526
NCAT,12/16/17,ABC,1.6,2.357
FSU,12/27/17,ESPN,,2.205
NCSU,12/29/17,CBS,1.5,2.205
UTAH,12/26/17,ESPN,,2.204
UH,12/24/17,ESPN,1.1,2.086
USNA,12/28/17,ESPN,,2.052
APP-ST,12/23/17,ESPN,1,1.77
MIST,12/28/17,FS1,,1.613
FIU,12/21/17,ESPN,1,1.579
ND-ST,1/6/18,ESPN2,1,1.515
FAU,12/19/17,ESPN,,1.394
TROY,12/16/17,ESPN,0.9,1.327
SMU,12/20/17,ESPN,,1.25
MARSH,12/16/17,ESPN,0.75,1.212
MTSU,12/16/17,ESPN,0.7,1.187
USMA,12/9/17,CBS,5.2,8.419
