team,date,network,rating,viewers
PORT-ST,8/26/17,ESPN,0.6,0.939
UT-CHAT,8/26/17,ESPN,0.44,0.725
STAN,8/26/17,ESPN,0.41,0.653
TX-SO,8/26/17,ESPNU,,0.228
COLGATE,8/26/17,ESPNU,,0.19
OHST,8/31/17,ESPN,3,5.428
TLSA,8/31/17,FS1,,0.382
UT-ST,9/1/17,ESPN,1.1,1.76
WASH,9/1/17,FS1,0.6,0.971
USNA,9/1/17,ESPNU,,0.444
BAMA,9/2/17,ABC,6.9,12.557
MICH,9/2/17,ABC,4.9,7.805
AKRN,9/2/17,ABC,1.5,2.332
UMD,9/2/17,FS1,1.2,2.081
PUR,9/2/17,FOX,1.1,1.792
BYU,9/2/17,ESPN,1,1.763
APP-ST,9/2/17,ESPN,0.9,1.718
KENT,9/2/17,ESPN,1,1.629
TEMPLE,9/2/17,NBC,1,1.58
NCSU,9/2/17,ESPN,0.9,1.558
UTEP,9/2/17,FOX,0.7,1.111
BGSU,9/2/17,ESPNU,,0.537
MT-ST,9/2/17,FS1,0.24,0.436
TROY,9/2/17,ESPNU,,0.194
SO-AL,9/2/17,ESPNU,,0.161
LIB,9/2/17,FS2,,0.137
WVU,9/3/17,ABC,2.7,4.737
TAMU,9/3/17,FOX,1.9,3.19
SC-ST,9/3/17,ESPN2,0.3,0.428
TENN,9/4/17,ESPN,2.9,5.268
SAM-HOU,9/7/17,ESPNU,,0.12
OKST,9/8/17,ESPN2,0.6,0.966
OHIO,9/8/17,FS1,,0.403
OKLA,9/9/17,ABC,4.6,8.255
UGA,9/9/17,NBC,2.4,4.088
PITT,9/9/17,ABC,2.4,3.742
CINCI,9/9/17,ABC,2.4,3.693
AUB,9/9/17,ESPN,1.8,3.504
NEB,9/9/17,FOX,1.5,2.587
TCU,9/9/17,CBS,1.5,2.345
LOU,9/9/17,ESPN,1.5,2.263
FRESNO,9/9/17,ESPN2,1.2,2.07
STAN,9/9/17,FOX,1.2,2.069
IOWA,9/9/17,ESPN2,0.8,1.406
BOISE,9/9/17,ESPN,0.75,1.265
SCAR,9/9/17,ESPN2,0.45,0.802
UTAH,9/9/17,ESPN2,0.37,0.668
MINN,9/9/17,FS1,0.24,0.41
IU,9/9/17,ESPNU,,0.358
NICH,9/9/17,ESPNU,,0.353
UH,9/9/17,ESPNU,,0.242
ECU,9/9/17,FS2,,0.239
NWST,9/9/17,ESPNU,,0.161
BOISE,9/14/17,ESPN,0.7,1.053
ILL,9/15/17,ESPN,0.9,1.369
UMASS,9/15/17,ESPNU,,0.215
TENN,9/16/17,CBS,3.2,5.133
CLEM,9/16/17,ABC,3,5.206
TEX,9/16/17,FOX,2.9,4.953
UCLA,9/16/17,ABC,2.2,3.238
USMA,9/16/17,FOX,1.5,2.506
LSU,9/16/17,ESPN,1.5,2.581
WIS,9/16/17,ABC,1.5,2.274
ND,9/16/17,ESPN,1.1,1.845
CSU,9/16/17,ESPN2,1,1.653
OKST,9/16/17,ESPN,1,1.621
MISS,9/16/17,ESPN,0.8,1.195
AZ,9/15/17,ESPN,,0.829
NIU,9/16/17,FS1,0.49,0.808
UNTX,9/16/17,ESPN2,0.39,0.669
KSU,9/16/17,ESPNU,,0.415
SMU,9/16/17,ESPNU,,0.372
SJSU,9/16/17,ESPN2,,0.294
UCONN,9/16/17,ESPN2,,0.286
KAN,9/16/17,ESPNU,,0.195
BETH,9/16/17,BEIN,,4
TEMPLE,9/21/17,ESPN,0.65,0.992
UVA,9/22/17,ESPN2,0.8,1.324
UTAH,9/22/17,FS1,0.35,0.581
PSU,9/23/17,ABC,3.1,5.341
NCSU,9/23/17,ABC,2.5,3.85
MICH,9/23/17,FOX,2.2,3.521
